"id","x","y","eame","heth"
1533,478915.3358,447379.0944,0,1
1534,477255.4624,443409.7293,0,0
1535,478047.9748,434039.3563,0,1
1536,477378.09,434055.9159,0,1
1537,477113.4464,434396.4441,0,1
1538,479536.5915,438092.1491,0,1
1539,477125.0931,435925.9431,0,1
1540,552506.7551,553492.3298,0,1
1541,552955.3723,550696.083,0,1
1542,550712.7978,553699.9513,0,0
1543,550556.2257,550520.6589,0,1
1544,550541.6597,551909.3179,0,1
1545,554536.3824,556097.3323,0,1
1546,556168.4858,602524.8223,0,0
1547,558450.0315,550191.7636,0,1
1548,558426.8576,558454.1612,0,1
1549,556937.3626,555052.2074,0,1
1550,555105.4863,546830.3658,0,1
1551,556669.6997,547591.4165,0,1
1552,557156.7809,510479.4232,0,1
1553,559042.9772,547680.1196,0,1
1554,558621.257,548424.1068,0,1
1555,300184.534,478618.342,0,0
1556,301654.2366,477202.6526,0,0
1557,301658.7204,478527.0271,0,1
1558,302024.2491,477361.3838,0,0
1559,301616.8543,476684.564,0,0
1560,572730.8166,495202.647,0,0
1561,573240.4914,495788.9963,0,1
1562,573244.4792,494550.3354,0,0
1563,574048.8208,498465.3649,0,0
1564,572406.5428,496830.8375,0,1
1565,578833.8483,499560.7845,0,1
1566,577212.006,501272.4933,0,0
1567,578935.9162,500123.8713,0,1
1568,578538.0026,501723.334,0,1
1569,569576.1464,501651.9515,0,1
1570,578083.7436,491219.5689,0,0
1571,575860.4184,489626.7233,0,0
1572,578723.1807,490639.9268,0,1
1573,574550.4766,491983.9549,0,1
1574,576867.8642,492703.9938,0,0
1575,510486.8134,466548.4729,1,1
1576,513875.893,467982.8717,0,0
1577,510411.2582,467978.2009,1,0
1578,512115.4105,468276.9255,0,0
1579,513698.3123,467098.8362,0,1
1580,515259.8937,472799.3189,0,0
1581,516518.2558,474426.9815,1,0
1582,519899.4329,472786.4689,1,0
1583,515379.8219,474401.0374,1,0
1584,516029.3988,471206.995,0,0
1585,519275.7685,461566.2134,0,0
1586,517985.8852,463891.3963,0,0
1587,516393.4574,465014.0024,0,0
1588,519849.2819,461490.6402,0,0
1589,515551.8126,465495.5066,1,0
1590,490445.9847,358987.4676,0,0
1591,490674.9084,355885.5526,0,0
1592,494160.0106,354913.8153,0,1
1593,492501.9398,357936.9106,0,1
1594,494412.5795,356867.5564,1,0
1595,498065.6207,363581.6894,0,0
1596,496116.0435,362614.3504,0,0
1597,498969.2546,362375.9581,0,1
1598,496000.8046,361247.5656,0,1
1599,498273.9329,359799.2881,0,1
1600,494799.3041,353617.4946,0,0
1601,495137.2462,352115.7756,0,1
1602,496439.8348,352800.7626,0,0
1603,498157.7055,354058.826,0,0
1604,499349.904,351067.4731,0,0
1605,434166.033,439883.7936,0,1
1606,434608.1993,440212.3805,0,1
1607,433777.176,439375.6655,0,1
1608,431838.37,441249.1551,0,0
1609,431564.832,441855.012,0,0
1610,439758.3669,446962.519,0,1
1611,439775.4904,447512.2264,0,0
1612,439313.198,444475.0667,0,1
1613,440180.455,447854.966,0,0
1614,437763.2231,447721.7977,0,0
1615,437038.1901,434800.689,0,0
1616,436527.3177,435222.696,0,0
1617,439470.3554,434914.6376,0,1
1618,439202.9627,435260.1091,0,0
1619,435795.0278,435334.3136,0,1
1620,434034.9352,580489.1453,0,1
1621,433089.0242,577769.7794,0,1
1622,432855.343,579389.8605,0,1
1623,436632.5681,578957.073,0,1
1624,432633.2679,577770.5892,0,1
1625,435077.5201,581563.8407,0,1
1626,439938.1596,583371.8495,0,1
1627,439926.6623,582598.6074,0,1
1628,439939.8992,585383.0901,0,1
1629,439904.6324,582156.6364,0,1
1630,439944.3799,583795.1343,0,1
1631,439784.2878,575156.6063,0,1
1632,439873.3787,574446.5308,0,1
1633,439736.7511,572912.6395,0,1
1634,439756.6959,573433.5246,0,1
1635,440441.9585,575697.1126,0,0
1636,439651.8773,576616.1782,0,1
1637,434827.2985,524852.4514,0,0
1638,434407.9082,524863.6524,1,0
1639,434299.9338,526291.7805,1,0
1640,433679.8507,526382.4154,0,0
1641,433143.3665,524890.8424,0,0
1642,437680.6549,528713.6301,0,1
1643,437707.2062,530575.498,0,0
1644,437115.1452,527918.7851,0,1
1645,441247.4727,531100.4643,0,1
1646,440908.7578,529682.4883,0,0
1647,439197.0948,519235.4098,0,0
1648,437668.1606,520365.0136,0,0
1649,438702.9105,517485.0949,0,0
1650,439033.1662,517786.4268,0,1
1651,439366.2233,506749.3018,0,0
1652,413018.079,387947.769,0,0
